34	The Iran deal "handed billions of dollars of cash on cargo planes, sent it to a state sponsor of terror, and Tammy Baldwin was one of the first U.S. senators to get on board and support that."	1917	The Iran deal "handed billions of dollars of cash on cargo planes, sent it to a state sponsor of terror, and Tammy Baldwin was one of the first U.S. senators to get on board and support that."
34	Says the Obama administration "watered down sanctions" against Iran, delayed them and tried to stop Congress "from putting the tough sanctions in place."	10168	Says the Obama administration "watered down sanctions" against Iran, delayed them and tried to stop Congress "from putting the tough sanctions in place."
34	Irans regime "every Friday declares war on us."	2677	Irans regime "every Friday declares war on us."
34	This president ... could have gotten crippling sanctions against Iran. He did not.	11558	This president ... could have gotten crippling sanctions against Iran. He did not.
34	President Barack Obama and Secretary of State John Kerry agreed "to lift Irans economic and arms sanctions without any proof of change in conduct."	5864	President Barack Obama and Secretary of State John Kerry agreed "to lift Irans economic and arms sanctions without any proof of change in conduct."
35	The nuclear deal gave Iran "$150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes."	2137	The nuclear deal gave Iran "$150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes."
36	Says Barack Obama and Hillary Clinton are "responsible for leading America into a deal that will arm Iran."	4517	Says Barack Obama and Hillary Clinton are "responsible for leading America into a deal that will arm Iran."
36	Says Ted Strickland supported giving $150 billion to Iranian regime that persecutes women, Christians and gays.	4319	Says Ted Strickland supported giving $150 billion to Iranian regime that persecutes women, Christians and gays.
36	We've just now given over $100 billion to Iran, "the equivalent in U.S. terms is $5 trillion."	5967	We've just now given over $100 billion to Iran, "the equivalent in U.S. terms is $5 trillion."
36	The nuclear deal gave Iran "$150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes."	2137	The nuclear deal gave Iran "$150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes."
36	We made a ridiculous deal (with Iran). We gave them $150 billion. We gave them $1.8 billion, and we got nothing.	224	We made a ridiculous deal (with Iran). We gave them $150 billion. We gave them $1.8 billion, and we got nothing.
36	Under the Iran nuclear deal, "we give them $150 billion, we get nothing."	5254	Under the Iran nuclear deal, "we give them $150 billion, we get nothing."
38	Here, we have Thanksgiving, we have Christmas, we have the 4th of July. Every year in Iran, they celebrate Death to America day.	6626	Here, we have Thanksgiving, we have Christmas, we have the 4th of July. Every year in Iran, they celebrate Death to America day.
38	Irans regime "every Friday declares war on us."	2677	Irans regime "every Friday declares war on us."
172	Says former FBI Director James Comey admitted to leaking classified information.	3223	Says former FBI Director James Comey admitted to leaking classified information.
174	Says former FBI Director James Comey admitted to leaking classified information.	3223	Says former FBI Director James Comey admitted to leaking classified information.
174	(James) Comey knew murdered DNC staffer, Seth Rich, was WikiLeaks source  covered it up for Hillary (Clinton).	3266	(James) Comey knew murdered DNC staffer, Seth Rich, was WikiLeaks source  covered it up for Hillary (Clinton).
175	Says former FBI Director James Comey admitted to leaking classified information.	3223	Says former FBI Director James Comey admitted to leaking classified information.
178	Says former FBI Director James Comey admitted to leaking classified information.	3223	Says former FBI Director James Comey admitted to leaking classified information.
182	The Russian state has never interfered ... into internal American affairs including election process.	1853	The Russian state has never interfered ... into internal American affairs including election process.
182	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.	2557	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.
182	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.	3312	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.
182	Says Paul Manaforts sentencing judge, Amy Berman Jackson, "conceded that there was absolutely no evidence of any Russian collusion in this case. So that makes two courts. Two courts have ruled no evidence of any collusion with any Russians."	889	Says Paul Manaforts sentencing judge, Amy Berman Jackson, "conceded that there was absolutely no evidence of any Russian collusion in this case. So that makes two courts. Two courts have ruled no evidence of any collusion with any Russians."
182	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION	2168	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION
183	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.	3312	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.
183	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.	2557	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.
183	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION	2168	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION
183	The Russian state has never interfered ... into internal American affairs including election process.	1853	The Russian state has never interfered ... into internal American affairs including election process.
184	I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!	2385	I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!
194	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.	2557	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.
194	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.	3312	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.
194	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION	2168	James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION
196	Says former FBI Director James Comey admitted to leaking classified information.	3223	Says former FBI Director James Comey admitted to leaking classified information.
200	Says former FBI Director James Comey admitted to leaking classified information.	3223	Says former FBI Director James Comey admitted to leaking classified information.
205	Says Donald Trump "says he has foreign policy experience because he ran the Miss Universe pageant in Russia."	4878	Says Donald Trump "says he has foreign policy experience because he ran the Miss Universe pageant in Russia."
215	Says a CNN anchor said that Hillary Clinton has gotten "a free ride so far from the media. We're the biggest ones supporting her campaign."	4434	Says a CNN anchor said that Hillary Clinton has gotten "a free ride so far from the media. We're the biggest ones supporting her campaign."
225	Says former FBI Director James Comey admitted to leaking classified information.	3223	Says former FBI Director James Comey admitted to leaking classified information.
233	The Mueller investigation is "soon to be $20,000,000."	2046	The Mueller investigation is "soon to be $20,000,000."
237	President Trump has passed more legislation in his first 100 days than any president since Harry Truman.	3360	President Trump has passed more legislation in his first 100 days than any president since Harry Truman.
237	No administration has accomplished more in the first 90 days.	3392	No administration has accomplished more in the first 90 days.
242	President Trump has passed more legislation in his first 100 days than any president since Harry Truman.	3360	President Trump has passed more legislation in his first 100 days than any president since Harry Truman.
242	No administration has accomplished more in the first 90 days.	3392	No administration has accomplished more in the first 90 days.
242	Trump has "worked with Congress to pass more legislation in his first 100 days than any president since Truman."	3376	Trump has "worked with Congress to pass more legislation in his first 100 days than any president since Truman."
242	President Trump has signed more bills into law "than any president previously before at this stage in the game."	3165	President Trump has signed more bills into law "than any president previously before at this stage in the game."
252	Says John Podesta "refused to give the DNC server to the FBI and the CIA. Disgraceful!"	3125	Says John Podesta "refused to give the DNC server to the FBI and the CIA. Disgraceful!"
252	The servers of the Pakistani gentleman that worked on the DNC are "missing."	1851	The servers of the Pakistani gentleman that worked on the DNC are "missing."
256	Says John Podesta "refused to give the DNC server to the FBI and the CIA. Disgraceful!"	3125	Says John Podesta "refused to give the DNC server to the FBI and the CIA. Disgraceful!"
256	The servers of the Pakistani gentleman that worked on the DNC are "missing."	1851	The servers of the Pakistani gentleman that worked on the DNC are "missing."
315	Kanye (West) looks and he sees black unemployment at the lowest its been in the history of our country. He sees Hispanic unemployment at the lowest its been in the history of our country. He sees (womens unemployment) the lowest its been in now almost 19 years.	2141	Kanye (West) looks and he sees black unemployment at the lowest its been in the history of our country. He sees Hispanic unemployment at the lowest its been in the history of our country. He sees (womens unemployment) the lowest its been in now almost 19 years.
315	African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a full point in the last year and is close to the lowest in recorded history. Dems did nothing for you but get your vote!	2537	African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a full point in the last year and is close to the lowest in recorded history. Dems did nothing for you but get your vote!
315	Because of my policies, Black Unemployment has just been reported to be at the LOWEST RATE EVER RECORDED!	2473	Because of my policies, Black Unemployment has just been reported to be at the LOWEST RATE EVER RECORDED!
315	The poverty rates for African Americans and Hispanic Americans  its been incredible, theyve all reached their lowest levels in the history of our country.	1429	The poverty rates for African Americans and Hispanic Americans  its been incredible, theyve all reached their lowest levels in the history of our country.
316	Kanye (West) looks and he sees black unemployment at the lowest its been in the history of our country. He sees Hispanic unemployment at the lowest its been in the history of our country. He sees (womens unemployment) the lowest its been in now almost 19 years.	2141	Kanye (West) looks and he sees black unemployment at the lowest its been in the history of our country. He sees Hispanic unemployment at the lowest its been in the history of our country. He sees (womens unemployment) the lowest its been in now almost 19 years.
316	African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a full point in the last year and is close to the lowest in recorded history. Dems did nothing for you but get your vote!	2537	African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a full point in the last year and is close to the lowest in recorded history. Dems did nothing for you but get your vote!
316	The poverty rates for African Americans and Hispanic Americans  its been incredible, theyve all reached their lowest levels in the history of our country.	1429	The poverty rates for African Americans and Hispanic Americans  its been incredible, theyve all reached their lowest levels in the history of our country.
317	Kanye (West) looks and he sees black unemployment at the lowest its been in the history of our country. He sees Hispanic unemployment at the lowest its been in the history of our country. He sees (womens unemployment) the lowest its been in now almost 19 years.	2141	Kanye (West) looks and he sees black unemployment at the lowest its been in the history of our country. He sees Hispanic unemployment at the lowest its been in the history of our country. He sees (womens unemployment) the lowest its been in now almost 19 years.
317	Womens unemployment has been lower under President Trump than its been in nearly 70 years.	121	Womens unemployment has been lower under President Trump than its been in nearly 70 years.
336	Wow, highest Poll Numbers in the history of the Republican Party. That includes Honest Abe Lincoln and Ronald Reagan.	1793	Wow, highest Poll Numbers in the history of the Republican Party. That includes Honest Abe Lincoln and Ronald Reagan.
355	The poverty rates for African Americans and Hispanic Americans  its been incredible, theyve all reached their lowest levels in the history of our country.	1429	The poverty rates for African Americans and Hispanic Americans  its been incredible, theyve all reached their lowest levels in the history of our country.
355	Black homeownership just hit the highest level it has ever been in the history of our country.	2608	Black homeownership just hit the highest level it has ever been in the history of our country.
355	African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a full point in the last year and is close to the lowest in recorded history. Dems did nothing for you but get your vote!	2537	African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a full point in the last year and is close to the lowest in recorded history. Dems did nothing for you but get your vote!
355	Kanye (West) looks and he sees black unemployment at the lowest its been in the history of our country. He sees Hispanic unemployment at the lowest its been in the history of our country. He sees (womens unemployment) the lowest its been in now almost 19 years.	2141	Kanye (West) looks and he sees black unemployment at the lowest its been in the history of our country. He sees Hispanic unemployment at the lowest its been in the history of our country. He sees (womens unemployment) the lowest its been in now almost 19 years.
385	We had a massive landslide victory, as you know, in the Electoral College.	3878	We had a massive landslide victory, as you know, in the Electoral College.
420	With North Korea, "nobody has ever seen such a positive response on our behalf from China."	3408	With North Korea, "nobody has ever seen such a positive response on our behalf from China."
466	SaysNorth Korea has "agreed to denuclearization."	2165	SaysNorth Korea has "agreed to denuclearization."
492	I have the No. 1 show on NBC.	13288	I have the No. 1 show on NBC.
537	Trump Management was charged with discriminating against AfricanAmericans and breaking federal law.	4327	Trump Management was charged with discriminating against AfricanAmericans and breaking federal law.
540	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.	3312	Says James Clapper "and virtually everyone else" said "there is no collusion" in the Russia investigation findings.
540	James Clapper Flips On Live TV, Admits Obama Behind Entire Russia Witch Hunt! (Video)	1766	James Clapper Flips On Live TV, Admits Obama Behind Entire Russia Witch Hunt! (Video)
540	Says 19,000 text messages exchanged between former FBI officials that were "purposely and illegally deleted ... would have explained (the special counsel investigation) hoax."	1179	Says 19,000 text messages exchanged between former FBI officials that were "purposely and illegally deleted ... would have explained (the special counsel investigation) hoax."
540	Says his conviction is "a political witch hunt by holdovers in the Obama justice department."	2960	Says his conviction is "a political witch hunt by holdovers in the Obama justice department."
540	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.	2557	Said Dianne Feinstein said "there is no collusion" between the Trump campaign and Russia.
545	The Electoral College is much more advantageous for Democrats.	1849	The Electoral College is much more advantageous for Democrats.
545	Says Donald Trump's presidential victory was "an electoral landslide."	3924	Says Donald Trump's presidential victory was "an electoral landslide."
546	We had a massive landslide victory, as you know, in the Electoral College.	3878	We had a massive landslide victory, as you know, in the Electoral College.
546	Says Donald Trump's presidential victory was "an electoral landslide."	3924	Says Donald Trump's presidential victory was "an electoral landslide."
553	Robert Muellers investigative team has "13 hardened Democrats, some big Crooked Hillary supporters, and Zero Republicans."	2282	Robert Muellers investigative team has "13 hardened Democrats, some big Crooked Hillary supporters, and Zero Republicans."
561	The person in charge of the Hillary investigation, Andrew McCabe, got $700,000 from (Hillary Clinton) for wife!	3072	The person in charge of the Hillary investigation, Andrew McCabe, got $700,000 from (Hillary Clinton) for wife!
